MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3)
2016-09-14 07:00:00,9.0,46.0,59.7,35.6,20.6
2016-09-14 08:00:00,11.0,40.2,57.1,38.3,19.3
2016-09-14 09:00:00,32.5,57.5,107.4,41.1,23.0
2016-09-14 10:00:00,23.1,47.8,83.1,41.2,19.7
2016-09-14 11:00:00,19.5,40.5,70.3,39.6,20.1
2016-09-14 12:00:00,17.9,37.0,64.6,35.2,19.5
2016-09-14 13:00:00,19.9,40.7,71.2,25.2,14.2
2016-09-14 14:00:00,21.5,42.7,75.8,24.0,14.4
2016-09-14 15:00:00,28.4,57.0,100.5,14.9,6.8
2016-09-14 16:00:00,27.7,59.1,101.6,15.8,8.2
2016-09-14 17:00:00,29.2,67.9,112.7,20.2,13.0
2016-09-14 18:00:00,25.5,75.8,115.0,27.5,12.4
2016-09-14 19:00:00,22.1,71.0,104.9,22.9,16.0
2016-09-14 20:00:00,26.5,75.6,116.2,23.8,16.2
2016-09-14 21:00:00,54.4,82.9,166.3,20.1,11.2
2016-09-14 22:00:00,11.9,51.7,70.0,20.5,13.2
2016-09-14 23:00:00,50.2,57.5,134.5,24.4,19.8
2016-09-15 00:00:00,75.4,59.6,175.2,25.4,19.8
2016-09-15 01:00:00,56.2,65.3,151.5,24.6,18.8
2016-09-15 02:00:00,40.8,67.4,130.0,20.3,15.0
2016-09-15 03:00:00,58.7,66.0,156.1,21.0,15.1
2016-09-15 04:00:00,42.2,55.2,119.8,24.6,18.4
2016-09-15 05:00:00,150.7,84.1,315.2,33.1,22.5
2016-09-15 06:00:00,111.3,82.7,253.4,35.7,24.2
2016-09-15 07:00:00,17.1,45.1,71.3,33.6,26.6
2016-09-15 08:00:00,3.1,21.6,26.4,28.2,16.7
2016-09-15 09:00:00,1.6,17.7,20.0,35.8,22.4
2016-09-15 10:00:00,,,,,
2016-09-15 11:00:00,1.5,19.7,22.0,,
2016-09-15 12:00:00,0.7,15.7,16.8,34.1,22.3
2016-09-15 13:00:00,11.0,50.8,67.8,45.1,28.0
2016-09-15 14:00:00,17.0,57.0,83.1,49.2,29.7
2016-09-15 15:00:00,14.7,55.8,78.3,41.2,25.1
2016-09-15 16:00:00,16.1,49.9,74.6,41.1,20.9
2016-09-15 17:00:00,17.5,53.9,80.8,37.7,19.1
2016-09-15 18:00:00,15.1,46.7,69.8,24.3,14.8
2016-09-15 19:00:00,14.3,42.2,64.2,15.5,9.3
2016-09-15 20:00:00,15.6,50.3,74.2,18.1,10.5
2016-09-15 21:00:00,9.3,36.7,50.9,13.6,9.3
2016-09-15 22:00:00,4.9,23.2,30.8,17.6,12.9
